 495687.0 	,1
 827542.0 	,1
 335943.0 	,1
 64519.0 	,1
 704661.0 	,1
 356416.0 	,1
 172066.0 	,1
 983194.0 	,1
 29955.0 	,1
 507983.0 	,1
 40454.0 	,1
 786566.0 	,1
 704641.0 	,1
 712842.0 	,1
 549001.0 	,1
 843917.0 	,1
 778378.0 	,1
 811150.0 	,1
 974989.0 	,1
 549004.0 	,1
 934026.0 	,1
 794762.0 	,1
 729229.0 	,1
 868491.0 	,1
 647311.0 	,1
 802996.0 	,1
 770226.0 	,1
 540850.0 	,1
 176168.0 	,1
 458836.0 	,1
 409685.0 	,1
 630967.0 	,1
 67.0 	,15
 65.0 	,21
 66.0 	,15
 71.0 	,21
 69.0 	,21
 70.0 	,20
 68.0 	,18
 74.0 	,23
 75.0 	,18
 72.0 	,15
 73.0 	,19
 78.0 	,26
 76.0 	,21
 79.0 	,17
 77.0 	,18
 83.0 	,26
 80.0 	,19
 82.0 	,20
 81.0 	,19
 86.0 	,20
 85.0 	,21
 87.0 	,22
 84.0 	,21
 89.0 	,21
 90.0 	,26
 88.0 	,18
 260139.0 	,1
 98.0 	,20
 97.0 	,24
 99.0 	,11
 803000.0 	,1
 100.0 	,22
 102.0 	,18
 101.0 	,17
 103.0 	,18
 105.0 	,12
 104.0 	,26
 106.0 	,28
 107.0 	,20
 109.0 	,19
 108.0 	,23
 111.0 	,10
 110.0 	,19
 315474.0 	,1
 115.0 	,15
 114.0 	,12
 113.0 	,23
 112.0 	,20
 852155.0 	,1
 116.0 	,18
 119.0 	,23
 117.0 	,20
 118.0 	,11
 120.0 	,14
 122.0 	,22
 121.0 	,22
 294995.0 	,1
 975033.0 	,1
 688291.0 	,1
 40452.0 	,1
 323676.0 	,1
 438367.0 	,1
 376924.0 	,1
 557222.0 	,1
 247852.0 	,1
 520284.0 	,1
 696485.0 	,1
 925868.0 	,1
 852142.0 	,2
 811183.0 	,1
 819370.0 	,1
 876714.0 	,1
 274532.0 	,1
 598225.0 	,1
 648.0 	,1
 975058.0 	,1
 630997.0 	,1
 753878.0 	,1
 721115.0 	,1
 614617.0 	,1
 704730.0 	,1
 233523.0 	,1
 462946.0 	,1
 590043.0 	,1
 178226.0 	,1
 901337.0 	,1
 581853.0 	,1
 983256.0 	,1
 194611.0 	,1
 139316.0 	,1
 835780.0 	,1
 811205.0 	,1
 581827.0 	,2
 958658.0 	,1
 696518.0 	,1
 110597.0 	,1
 925888.0 	,1
 118789.0 	,1
 893133.0 	,1
 4736.0 	,1
 217143.0 	,1
 549066.0 	,1
 101380.0 	,1
 397416.0 	,1
 581837.0 	,1
 663756.0 	,1
 934089.0 	,1
 966857.0 	,1
 202809.0 	,1
 40449.0 	,1
 41473.0 	,1
 942324.0 	,1
 243769.0 	,1
 917747.0 	,1
 512117.0 	,1
 114691.0 	,1
 917744.0 	,1
 438389.0 	,1
 130051.0 	,1
 729339.0 	,1
 17152.0 	,1
 794876.0 	,1
 901375.0 	,1
 778489.0 	,1
 532731.0 	,1
 663801.0 	,2
 794872.0 	,2
 360563.0 	,1
 794873.0 	,1
 778494.0 	,1
 614654.0 	,1
 794875.0 	,1
 794853.0 	,1
 680160.0 	,1
 82945.0 	,1
 794854.0 	,1
 512126.0 	,1
 827616.0 	,1
 712935.0 	,1
 794860.0 	,2
 794861.0 	,1
 598251.0 	,1
 794862.0 	,1
 165950.0 	,1
 794863.0 	,1
 811247.0 	,1
 712937.0 	,1
 340091.0 	,1
 868585.0 	,1
 311418.0 	,1
 778476.0 	,1
 135168.0 	,1
 876565.0 	,1
 85023.0 	,1
 974868.0 	,1
 286725.0 	,1
 344068.0 	,1
 52751.0 	,1
 737307.0 	,1
 85022.0 	,1
 712728.0 	,1
 151555.0 	,1
 270339.0 	,1
 29191.0 	,1
 925720.0 	,1
 901146.0 	,1
 204805.0 	,1
 503823.0 	,1
 786437.0 	,1
 958471.0 	,1
 169988.0 	,1
 606213.0 	,1
 851971.0 	,1
 471052.0 	,1
 876546.0 	,1
 137222.0 	,1
 68636.0 	,1
 85020.0 	,1
 811022.0 	,1
 397320.0 	,1
 217094.0 	,1
 663564.0 	,1
 169991.0 	,1
 720908.0 	,1
 208905.0 	,1
 843828.0 	,1
 85019.0 	,1
 89115.0 	,1
 565299.0 	,1
 327703.0 	,1
 761910.0 	,1
 122907.0 	,1
 327697.0 	,1
 630841.0 	,1
 20486.0 	,1
 696377.0 	,1
 141323.0 	,1
 344083.0 	,1
 217098.0 	,1
 405521.0 	,1
 942136.0 	,1
 614463.0 	,1
 909371.0 	,1
 409617.0 	,1
 32006.0 	,1
 454673.0 	,1
 38924.0 	,1
 247821.0 	,1
 868390.0 	,1
 901158.0 	,1
 966693.0 	,1
 356383.0 	,1
 614436.0 	,1
 53772.0 	,1
 56332.0 	,1
 712743.0 	,1
 811053.0 	,1
 696363.0 	,1
 663592.0 	,1
 679983.0 	,1
 892970.0 	,1
 573522.0 	,1
 745552.0 	,1
 335905.0 	,1
 942172.0 	,1
 909407.0 	,1
 178194.0 	,1
 487458.0 	,1
 409635.0 	,1
 172050.0 	,1
 983132.0 	,1
 573531.0 	,1
 942171.0 	,1
 188435.0 	,1
 376866.0 	,1
 409646.0 	,1
 217109.0 	,1
 80917.0 	,1
 778311.0 	,1
 565316.0 	,1
 647237.0 	,1
 290862.0 	,1
 942144.0 	,1
 540743.0 	,1
 208919.0 	,1
 4609.0 	,1
 696395.0 	,1
 85012.0 	,1
 92180.0 	,1
 581708.0 	,1
 712782.0 	,1
 307242.0 	,1
 712783.0 	,1
 581710.0 	,1
 778316.0 	,1
 405559.0 	,1
 606322.0 	,1
 380980.0 	,1
 512054.0 	,1
 106515.0 	,1
 753782.0 	,1
 712820.0 	,1
 688244.0 	,1
 598134.0 	,1
 126995.0 	,1
 942205.0 	,1
 430131.0 	,1
 520242.0 	,1
 253979.0 	,1
 999547.0 	,1
 901240.0 	,1
 876667.0 	,1
 868474.0 	,1
 614526.0 	,1
 421950.0 	,1
 909412.0 	,1
 770146.0 	,1
 794723.0 	,1
 520252.0 	,1
 282680.0 	,1
 76816.0 	,1
 745578.0 	,1
 786543.0 	,1
 294969.0 	,1
 606319.0 	,1
 581742.0 	,1
 753773.0 	,1
 129040.0 	,1
 721299.0 	,1
 991638.0 	,1
 713107.0 	,1
 737680.0 	,1
